Accession,sampleid
SRR11420780,179C
SRR11420708,192A
SRR11420781,179B
SRR11420742,186D
SRR11420735,188B
SRR11420706,192C
SRR11420705,192D
SRR11420963,234B
SRR11421368,234A
SRR11421465,226A
SRR11421603,223D
SRR11421604,223C
SRR11421605,223A
SRR11421609,222E
SRR11421610,222D
SRR11421611,222C
SRR11421075,222A
SRR11421083,220D
SRR11421084,220C
SRR11421086,220A
SRR11421612,222B
SRR11421157,210D
SRR11421138,214B
SRR11421139,214A
SRR11421136,214D
SRR11421137,214C
SRR11421074,274D
SRR11421187,274C
SRR11421188,274B
SRR11421189,274A
SRR11421222,209A
SRR11421215,210B
SRR11421216,210A
SRR11421217,209D
SRR11421218,209C
SRR11421219,209B
SRR11421158,210C
SRR11421241,203D
SRR11421246,267B
SRR11421247,267A
SRR11421252,266D
SRR11421253,266C
SRR11421272,203A
SRR11421275,202C
SRR11421276,202B
SRR11421277,202A
SRR11421290,201D
SRR11421291,201C
SRR11421292,201B
SRR11421242,203B
SRR11421339,200D
SRR11421340,200C
SRR11421341,200B
SRR11421342,200A
SRR11420989,246C
SRR11420990,246B
SRR11420991,246A
SRR11421066,234F
SRR11421067,234E
SRR11421068,234D
SRR11421069,234C
SRR11420707,192B
SRR11420724,189C
SRR11420725,189B
SRR11420732,188D
SRR11420733,188C
SRR11420736,188A
SRR11420741,186E
SRR11420743,186C
SRR11420753,184C
SRR11420754,184B
SRR11420755,184A
SRR11420779,179D
SRR11420782,179A
SRR11420808,173D
SRR11420809,173C
SRR11420810,173B
SRR11420812,173A
SRR11420821,172C
SRR11420824,172B
SRR11420840,166D
SRR11420842,166B
SRR11420888,162C
SRR11420890,162B
SRR11420891,162A
SRR11420263,238B
SRR11420252,238C
SRR11419928,238A
SRR11419939,237C
SRR11419950,237B
SRR11419961,237A
SRR11418032,134B
SRR11418031,134C
SRR11418200,143C
SRR11418201,143B
SRR11418202,143A
SRR11417812,489B
SRR11417922,479B
SRR11417924,479A
SRR11417491,472C
SRR11417492,472B
SRR11417493,472A
SRR11417639,144C
SRR11417640,144B
SRR11417642,144A
SRR11416947,116E
SRR11416948,116D
SRR11416696,116C
SRR11416697,116B
SRR11416698,116A
SRR11416114,298C
SRR11416125,298B
SRR11416134,403C
SRR11416156,403B
SRR11415712,405B
SRR11415743,403D
SRR11415909,460B
SRR11415809,460A
SRR11415810,458A
SRR11415889,466A
SRR11415952,428D
SRR11415953,428C
SRR11415954,428B
SRR11415955,428A
SRR11415983,403A
SRR11415605,298A
SRR11415609,524A
SRR11415621,521B
SRR11415622,521A
SRR11415340,519B
SRR11415341,519A
SRR11415551,420E
SRR11415553,420D
SRR11415554,420C
SRR11415555,420B
SRR11415556,420A
SRR11415579,415C
SRR11415581,415A
SRR11414336,1009
SRR11415034,1053
SRR11415035,1052
SRR11415036,1051
SRR11415014,1058
SRR11415016,1056
SRR11415051,1049
SRR11415039,1050
SRR11415151,1021
SRR11415153,1020
SRR11415157,1019
SRR11414719,1101
SRR11414720,1100
SRR11414726,1099
SRR11414731,1044
SRR11414923,1087
SRR11414927,1086
SRR11414922,1088
SRR11414964,1027
SRR11414965,1025
SRR11414943,1037
SRR11414482,1102
SRR11414539,1039
SRR18214333,1113
SRR18214332,1114
SRR18214331,1115
SRR18214330,1116
SRR18214329,219A
SRR18214328,219B
SRR18214327,219C
